FECHA (YYMMDD);HORA (HHMM);;
180821;0700;95,3868;
180821;0800;68,3213;
180821;0900;57,002;
180821;1000;37,8388;
180821;1100;20,461;
180821;1200;8,22961;
180821;1300;340,149;
180821;1400;305,928;
180821;1500;259,186;
180821;1600;251,602;
180821;1700;0,934003;
180821;1800;75,6392;
180821;1900;63,0563;
180821;2000;100,341;
180821;2100;94,8843;
180821;2200;106,891;
180821;2300;72,5463;
180822;0000;71,5044;
180822;0100;70,1392;
180822;0200;91,8459;
180822;0300;68,5828;
180822;0400;66,7574;
180822;0500;197,771;
180822;0600;250,3;
180822;0700;325,375;
180822;0800;73,5326;
180822;0900;4,41086;
180822;1000;283,575;
180822;1100;227,53;
180822;1200;249,973;
180822;1300;256,567;
180822;1400;267,029;
180822;1500;30,5628;
180822;1600;357,393;
180822;1700;10,936;
180822;1800;45,966;
180822;1900;18,9016;
180822;2000;30,7991;
180822;2100;80,9924;
180822;2200;49,9769;
180822;2300;4,60619;
180823;0000;358,859;
180823;0100;65,0841;
180823;0200;5,2902;
180823;0300;76,7664;
180823;0400;43,8397;
180823;0500;33,9577;
180823;0600;18,1096;
180823;0700;306,997;
180823;0800;252,148;
180823;0900;265,037;
180823;1000;283,683;
180823;1100;297,57;
180823;1200;303,59;
180823;1300;287,993;
180823;1400;257,703;
180823;1500;304,444;
180823;1600;285,804;
180823;1700;278,887;
180823;1800;287,462;
180823;1900;286,435;
180823;2000;299,458;
180823;2100;279,978;
180823;2200;291,182;
180823;2300;295,119;
180824;0000;270,879;
180824;0100;139,403;
180824;0200;270,364;
180824;0300;281,728;
180824;0400;291,353;
180824;0500;299,99;
180824;0600;277,809;
180824;0700;200,933;
180824;0800;296,161;
180824;0900;305,134;
180824;1000;308,742;
180824;1100;305,49;
180824;1200;309,461;
180824;1300;301,635;
180824;1400;313,325;
180824;1500;288,711;
180824;1600;297,682;
180824;1700;320,111;
180824;1800;2,66973;
180824;1900;70,5585;
180824;2000;131,668;
180824;2100;153,498;
180824;2200;46,8742;
180824;2300;330,901;
180825;0000;73,6312;
180825;0100;43,3733;
180825;0200;33,754;
180825;0300;5,29393;
180825;0400;24,9344;
180825;0500;232,695;
180825;0600;162,836;
180825;0700;229,092;
180825;0800;345,433;
180825;0900;354,669;
180825;1000;359,791;
180825;1100;78,2335;
180825;1200;77,5823;
180825;1300;74,4666;
180825;1400;46,3724;
180825;1500;323,53;
180825;1600;306,925;
180825;1700;313,671;
180825;1800;320,662;
180825;1900;135,118;
180825;2000;127,739;
180825;2100;97,8352;
180825;2200;21,2125;
180825;2300;24,5137;
180826;0000;57,9692;
180826;0100;104,711;
180826;0200;87,4321;
180826;0300;77,8351;
180826;0400;81,1128;
180826;0500;79,7073;
180826;0600;76,9233;
180826;0700;91,7764;
180826;0800;77,6807;
180826;0900;242,265;
180826;1000;264,351;
180826;1100;295,12;
180826;1200;295,727;
180826;1300;278,827;
180826;1400;296,613;
180826;1500;357,618;
180826;1600;3,8794;
180826;1700;355,612;
180826;1800;303,379;
180826;1900;273,254;
180826;2000;304,146;
180826;2100;310,301;
180826;2200;260,466;
180826;2300;277,876;
180827;0000;317,895;
180827;0100;317,881;
180827;0200;319,022;
180827;0300;338,621;
180827;0400;215,438;
180827;0500;285,255;
180827;0600;316,637;
180827;0700;350,973;
180827;0800;351,423;
180827;0900;315,88;
180827;1000;317,133;
180827;1100;303,675;
180827;1200;306,298;
180827;1300;309,93;
180827;1400;314,288;
180827;1500;314,886;
180827;1600;277,612;
180827;1700;261,232;
180827;1800;300,634;
180827;1900;131,797;
180827;2000;90,576;
180827;2100;309,065;
180827;2200;279,382;
180827;2300;33,2826;
180828;0000;188,398;
180828;0100;218,851;
180828;0200;201,666;
180828;0300;227,997;
180828;0400;148,595;
180828;0500;129,801;
180828;0600;249,01;
180828;0700;239,156;
180828;0800;241,276;
180828;0900;246,293;
180828;1000;351,416;
180828;1100;14,5484;
180828;1200;0,715974;
180828;1300;314,451;
180828;1400;302,165;
180828;1500;327,302;
180828;1600;284,369;
180828;1700;261,311;
180828;1800;301,646;
180828;1900;279,4;
180828;2000;256,495;
180828;2100;283,72;
180828;2200;295,876;
180828;2300;71,8917;
180829;0000;102,166;
180829;0100;170,314;
180829;0200;244,531;
180829;0300;281,367;
180829;0400;283,014;
180829;0500;266,586;
180829;0600;272,464;
180829;0700;252,178;
180829;0800;248,741;
180829;0900;302,399;
180829;1000;302,682;
180829;1100;306,965;
180829;1200;304,773;
180829;1300;289,103;
180829;1400;302,13;
180829;1500;296,351;
180829;1600;297,335;
180829;1700;302,341;
180829;1800;291,983;
180829;1900;308,152;
180829;2000;89,2448;
180829;2100;101,12;
180829;2200;83,2708;
180829;2300;92,6169;
180830;0000;93,547;
180830;0100;107,065;
180830;0200;90,4078;
180830;0300;140,899;
180830;0400;114,715;
180830;0500;72,6729;
180830;0600;70,6858;
180830;0700;68,2847;
180830;0800;59,038;
180830;0900;47,6177;
180830;1000;317,232;
180830;1100;252,329;
180830;1200;264,898;
180830;1300;259,24;
180830;1400;250,508;
180830;1500;253,712;
180830;1600;252,852;
180830;1700;247,647;
180830;1800;216,86;
180830;1900;293,024;
180830;2000;315,562;
180830;2100;174,797;
180830;2200;48,1619;
180830;2300;56,8239;
180831;0000;223,197;
180831;0100;129,43;
180831;0200;259,125;
180831;0300;70,2407;
180831;0400;80,5873;
180831;0500;116,947;
180831;0600;187,293;
180831;0700;291,137;
180831;0800;301,054;
180831;0900;268,658;
180831;1000;262,414;
180831;1100;254,218;
180831;1200;256,961;
180831;1300;253,247;
180831;1400;256,589;
180831;1500;255,039;
180831;1600;255,019;
180831;1700;253,637;
180831;1800;172,465;
180831;1900;77,7057;
180831;2000;55,448;
180831;2100;75,0309;
180831;2200;71,376;
180831;2300;75,4233;
180901;0000;59,1419;
180901;0100;83,2771;
180901;0200;20,9901;
180901;0300;82,9397;
180901;0400;77,1343;
180901;0500;161,793;
180901;0600;236,307;
180901;0700;97,1791;
180901;0800;156,093;
180901;0900;281,284;
180901;1000;322,609;
180901;1100;70,4517;
180901;1200;336,93;
180901;1300;282,351;
180901;1400;301,954;
180901;1500;356,67;
180901;1600;136,788;
180901;1700;39,457;
180901;1800;20,1886;
180901;1900;99,5728;
180901;2000;75,4941;
180901;2100;55,3283;
180901;2200;57,7968;
180901;2300;81,0618;
180902;0000;69,7974;
180902;0100;73,8792;
180902;0200;52,5784;
180902;0300;217,716;
180902;0400;242,201;
180902;0500;276,796;
180902;0600;295,884;
180902;0700;274,767;
180902;0800;273,533;
180902;0900;308,559;
180902;1000;306,572;
180902;1100;293,331;
180902;1200;303,823;
180902;1300;303,63;
180902;1400;306,323;
180902;1500;311,126;
180902;1600;306,591;
180902;1700;297,371;
180902;1800;291,777;
180902;1900;311,482;
180902;2000;299,552;
180902;2100;306,89;
180902;2200;299,659;
180902;2300;265,7;
180903;0000;199,339;
180903;0100;286,636;
180903;0200;86,6265;
180903;0300;94,8796;
180903;0400;79,6584;
180903;0500;48,7875;
180903;0600;155,34;
180903;0700;132,881;
180903;0800;49,9432;
180903;0900;19,8544;
180903;1000;292,271;
180903;1100;306,016;
180903;1200;317,314;
180903;1300;15,089;
180903;1400;7,14789;
180903;1500;40,5979;
180903;1600;329,411;
180903;1700;44,9594;
180903;1800;315,756;
180903;1900;68,932;
180903;2000;71,0485;
180903;2100;112,903;
180903;2200;176,605;
180903;2300;290,66;
180904;0000;235,663;
180904;0100;232,982;
180904;0200;240,394;
180904;0300;215,971;
180904;0400;245,725;
180904;0500;255,784;
180904;0600;324,438;
180904;0700;89,8542;
180904;0800;77,6538;
180904;0900;69,1256;
180904;1000;331,882;
180904;1100;323,807;
180904;1200;299,19;
180904;1300;300,231;
180904;1400;279,329;
180904;1500;278,174;
180904;1600;279,126;
180904;1700;306,192;
180904;1800;104,485;
180904;1900;47,5731;
180904;2000;65,5432;
180904;2100;36,2863;
180904;2200;39,6989;
180904;2300;339,184;
180905;0000;255,977;
180905;0100;214,553;
180905;0200;88,5448;
180905;0300;83,5132;
180905;0400;240,035;
180905;0500;243,492;
180905;0600;56,4948;
180905;0700;49,8829;
180905;0800;33,2714;
180905;0900;218,552;
180905;1000;265,837;
180905;1100;246,981;
180905;1200;299,607;
180905;1300;286,077;
180905;1400;253,105;
180905;1500;251,896;
180905;1600;235,186;
180905;1700;225,821;
180905;1800;196,67;
180905;1900;36,2564;
180905;2000;39,2545;
180905;2100;98,0042;
180905;2200;55,4866;
180905;2300;175,668;
180906;0000;332,243;
180906;0100;5,93386;
180906;0200;352,582;
180906;0300;329,888;
180906;0400;304,305;
180906;0500;312,479;
180906;0600;302,798;
180906;0700;275,147;
180906;0800;291,044;
180906;0900;316,111;
180906;1000;22,7576;
180906;1100;310,922;
180906;1200;300,543;
180906;1300;304,508;
180906;1400;302,904;
180906;1500;306,611;
180906;1600;299,399;
180906;1700;298,404;
180906;1800;293,68;
180906;1900;291,495;
180906;2000;298,6;
180906;2100;294,725;
180906;2200;304,608;
180906;2300;297,125;
180907;0000;297,495;
180907;0100;288,508;
180907;0200;281,507;
180907;0300;263,778;
180907;0400;256,034;
180907;0500;275,962;
180907;0600;289,696;
180907;0700;287,698;
180907;0800;298,816;
180907;0900;310,974;
180907;1000;314,345;
180907;1100;307,715;
180907;1200;;
180907;1300;;
180907;1400;236,849;
180907;1500;234,435;
180907;1600;230,508;
180907;1700;224,406;
180907;1800;225,478;
180907;1900;206,619;
180907;2000;207,83;
180907;2100;235,705;
180907;2200;249,044;
180907;2300;235,266;
180908;0000;339,958;
180908;0100;73,313;
180908;0200;47,486;
180908;0300;87,1328;
