FECHA (YYMMDD);HORA (HHMM);;
180821;0800;51,3135;
180821;0900;55,3714;
180821;1000;355,983;
180821;1100;329,317;
180821;1200;330,427;
180821;1300;317,287;
180821;1400;306,253;
180821;1500;284,191;
180821;1600;292,247;
180821;1700;310,258;
180821;1800;232,53;
180821;1900;196,246;
180821;2000;161,395;
180821;2100;325,173;
180821;2200;241,601;
180821;2300;118,981;
180822;0000;90,0315;
180822;0100;232,501;
180822;0200;86,5444;
180822;0300;61,4157;
180822;0400;293,696;
180822;0500;209,293;
180822;0600;300,399;
180822;0700;9,19453;
180822;0800;72,7925;
180822;0900;58,2479;
180822;1000;286,438;
180822;1100;331,279;
180822;1200;257,171;
180822;1300;258,378;
180822;1400;243,107;
180822;1500;24,2045;
180822;1600;325,393;
180822;1700;316,914;
180822;1800;318,297;
180822;1900;280,163;
180822;2000;222,183;
180822;2100;49,3966;
180822;2200;290,799;
180822;2300;359,308;
180823;0000;253,764;
180823;0100;289,878;
180823;0200;325,657;
180823;0300;318,21;
180823;0400;298,974;
180823;0500;268,34;
180823;0600;301,172;
180823;0700;276,432;
180823;0800;257,993;
180823;0900;268,539;
180823;1000;275,307;
180823;1100;281,92;
180823;1200;295,877;
180823;1300;281,747;
180823;1400;258,946;
180823;1500;290,669;
180823;1600;286,026;
180823;1700;261,436;
180823;1800;254,847;
180823;1900;258,301;
180823;2000;272,094;
180823;2100;260,19;
180823;2200;271,565;
180823;2300;264,651;
180824;0000;225,765;
180824;0100;233,895;
180824;0200;238,37;
180824;0300;255,901;
180824;0400;270,677;
180824;0500;265,628;
180824;0600;208,757;
180824;0700;209,834;
180824;0800;265,338;
180824;0900;284,617;
180824;1000;292,149;
180824;1100;288,657;
180824;1200;290,923;
180824;1300;281,909;
180824;1400;277,672;
180824;1500;259,944;
180824;1600;286,664;
180824;1700;299,491;
180824;1800;295,832;
180824;1900;132,38;
180824;2000;116,762;
180824;2100;174,257;
180824;2200;72,6057;
180824;2300;344,631;
180825;0000;48,3267;
180825;0100;43,7573;
180825;0200;326,237;
180825;0300;288,087;
180825;0400;290,112;
180825;0500;48,0998;
180825;0600;154,274;
180825;0700;210,471;
180825;0800;284,798;
180825;0900;295,242;
180825;1000;303,63;
180825;1100;76,2874;
180825;1200;75,403;
180825;1300;71,7528;
180825;1400;23,809;
180825;1500;8,79941;
180825;1600;289,3;
180825;1700;282,919;
180825;1800;170,114;
180825;1900;119,022;
180825;2000;151,41;
