FECHA (YYMMDD);HORA (HHMM);;
180820;1600;2,97346;
180820;1700;3,12421;
180820;1800;1,98628;
180820;1900;1,48594;
180820;2000;1,06243;
180820;2100;0,592091;
180820;2200;0,610763;
180820;2300;1,83234;
180821;0000;1,38935;
180821;0100;1,37788;
180821;0200;1,04592;
180821;0300;1,63057;
180821;0400;1,53997;
180821;0500;1,17486;
180821;0600;0,557797;
180821;0700;0,868323;
180821;0800;0,466146;
180821;0900;0,666337;
180821;1000;0,370592;
180821;1100;0,765462;
180821;1200;2,02653;
180821;1300;2,75056;
180821;1400;3,58543;
180821;1500;2,87976;
180821;1600;3,10679;
180821;1700;2,6915;
180821;1800;0,721806;
180821;1900;0,937024;
180821;2000;1,01388;
180821;2100;0,108934;
180821;2200;0,337776;
180821;2300;0,823463;
180822;0000;0,689869;
180822;0100;0,182222;
180822;0200;0,508397;
180822;0300;0,453802;
180822;0400;0,189696;
180822;0500;0,403096;
180822;0600;0,343734;
180822;0700;0,303765;
180822;0800;0,942019;
180822;0900;0,244904;
180822;1000;1,35536;
180822;1100;0,0917687;
180822;1200;1,61385;
180822;1300;1,71665;
180822;1400;0,489069;
180822;1500;1,14942;
180822;1600;2,09866;
180822;1700;1,38621;
180822;1800;1,01934;
180822;1900;1,04329;
180822;2000;0,746356;
180822;2100;1,09009;
180822;2200;1,09429;
180822;2300;1,40582;
180823;0000;1,3781;
180823;0100;1,78494;
180823;0200;0,65432;
180823;0300;0,750785;
180823;0400;1,9118;
180823;0500;1,55032;
180823;0600;3,16016;
180823;0700;3,31517;
180823;0800;1,95297;
180823;0900;2,85026;
180823;1000;4,34128;
180823;1100;5,18929;
180823;1200;5,10482;
180823;1300;5,13425;
180823;1400;4,55459;
180823;1500;5,75643;
180823;1600;4,66539;
180823;1700;4,66535;
180823;1800;3,47009;
180823;1900;3,98539;
180823;2000;4,34322;
180823;2100;4,24725;
180823;2200;4,91067;
180823;2300;3,25649;
180824;0000;1,08343;
180824;0100;0,732688;
180824;0200;1,86235;
180824;0300;3,23041;
180824;0400;4,01812;
180824;0500;3,0967;
180824;0600;1,54432;
180824;0700;1,03737;
180824;0800;2,10225;
180824;0900;4,28054;
180824;1000;5,26265;
180824;1100;5,24981;
180824;1200;4,64349;
180824;1300;5,04392;
180824;1400;3,85645;
180824;1500;3,43209;
180824;1600;3,83985;
180824;1700;2,24053;
180824;1800;1,49312;
180824;1900;0,165407;
180824;2000;1,04476;
180824;2100;1,64822;
180824;2200;0,336229;
180824;2300;1,11677;
180825;0000;1,12417;
180825;0100;0,475502;
180825;0200;1,54197;
180825;0300;1,21929;
180825;0400;1,47903;
180825;0500;0,129199;
180825;0600;1,03142;
180825;0700;1,62531;
180825;0800;2,86181;
180825;0900;4,13685;
180825;1000;3,34449;
180825;1100;1,99481;
180825;1200;2,16568;
180825;1300;2,02956;
180825;1400;0,822562;
180825;1500;0,802592;
180825;1600;5,12529;
180825;1700;2,50606;
180825;1800;0,585445;
180825;1900;1,30824;
180825;2000;1,09424;
180825;2100;0,0328982;
180825;2200;1,24311;
180825;2300;0,402219;
180826;0000;0,769981;
180826;0100;1,11512;
180826;0200;1,41979;
180826;0300;0,525508;
180826;0400;2,20048;
180826;0500;2,0453;
180826;0600;2,071;
180826;0700;2,2175;
180826;0800;1,66989;
180826;0900;0,454742;
180826;1000;5,22497;
180826;1100;7,39356;
180826;1200;7,28972;
180826;1300;5,10255;
180826;1400;3,25705;
180826;1500;3,45572;
180826;1600;3,54711;
180826;1700;3,64329;
180826;1800;2,73904;
180826;1900;2,15145;
180826;2000;2,26299;
180826;2100;1,67044;
180826;2200;0,944657;
180826;2300;1,99542;
180827;0000;0,790548;
180827;0100;0,785428;
180827;0200;1,76802;
180827;0300;1,69088;
180827;0400;2,24505;
180827;0500;2,19889;
180827;0600;2,76848;
180827;0700;1,79067;
180827;0800;2,01403;
180827;0900;2,07391;
180827;1000;3,71827;
180827;1100;6,98416;
180827;1200;8,17567;
180827;1300;7,74409;
180827;1400;5,8264;
180827;1500;4,08729;
180827;1600;3,13355;
180827;1700;2,17108;
180827;1800;3,00079;
180827;1900;1,86413;
180827;2000;1,808;
180827;2100;1,31242;
180827;2200;1,92829;
180827;2300;0,686564;
180828;0000;1,19223;
180828;0100;1,56092;
180828;0200;1,71354;
180828;0300;1,18357;
180828;0400;1,4838;
180828;0500;1,52526;
180828;0600;1,26767;
180828;0700;1,69031;
180828;0800;2,29024;
180828;0900;0,920942;
180828;1000;1,76939;
180828;1100;1,62128;
180828;1200;2,52035;
180828;1300;2,73819;
180828;1400;4,05483;
180828;1500;3,12159;
180828;1600;4,12327;
180828;1700;3,23295;
180828;1800;1,99867;
180828;1900;2,69554;
180828;2000;2,56706;
180828;2100;2,0843;
180828;2200;0,917621;
180828;2300;0,73128;
180829;0000;0,409521;
180829;0100;0,56177;
180829;0200;2,29952;
180829;0300;3,09567;
180829;0400;3,41066;
180829;0500;3,16137;
180829;0600;3,40753;
180829;0700;2,75649;
180829;0800;2,17868;
180829;0900;4,7284;
180829;1000;5,34127;
180829;1100;5,89763;
180829;1200;6,4956;
180829;1300;6,63322;
180829;1400;6,82276;
180829;1500;7,1145;
180829;1600;5,43037;
180829;1700;4,19564;
180829;1800;3,36513;
180829;1900;3,09266;
180829;2000;0,667402;
180829;2100;0,233145;
180829;2200;0,319665;
180829;2300;0,485438;
180830;0000;0,858643;
180830;0100;0,391902;
180830;0200;0,781303;
180830;0300;0,669024;
180830;0400;0,541991;
180830;0500;0,788807;
180830;0600;0,843208;
180830;0700;1,0442;
180830;0800;0,940102;
180830;0900;1,81578;
180830;1000;0,914947;
180830;1100;1,32922;
180830;1200;2,15949;
180830;1300;2,47815;
180830;1400;2,07951;
180830;1500;2,24671;
180830;1600;2,42125;
180830;1700;2,55891;
180830;1800;0,642332;
180830;1900;0,481777;
180830;2000;0,171312;
180830;2100;0,694523;
180830;2200;0,730151;
180830;2300;0,17237;
180831;0000;0,0970615;
180831;0100;0,285742;
180831;0200;0,17502;
